gender,age,field,from,income,career,attr,sinc,intel,fun,amb,shar,sports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
0,21.0,Law,Chicago,"69,487.00",lawyer,6.0,9.0,7.0,7.0,6.0,5.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,7.0,8.0,7.0,8.0,5.0,6.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,5.0,8.0,9.0,8.0,5.0,7.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,7.0,6.0,8.0,7.0,6.0,8.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,5.0,6.0,7.0,7.0,6.0,6.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,4.0,9.0,7.0,4.0,6.0,4.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,7.0,6.0,7.0,4.0,6.0,7.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,4.0,9.0,7.0,6.0,5.0,6.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,7.0,6.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,21.0,Law,Chicago,"69,487.00",lawyer,5.0,6.0,6.0,8.0,10.0,8.0,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
0,24.0,law,Alabama,"65,929.00",law,5.0,7.0,8.0,4.0,6.0,3.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,8.0,5.0,6.0,6.0,9.0,6.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,5.0,8.0,9.0,6.0,3.0,4.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,7.0,9.0,7.0,6.0,5.0,7.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,6.0,8.0,7.0,9.0,7.0,8.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,8.0,7.0,8.0,3.0,6.0,2.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,7.0,5.0,9.0,6.0,7.0,9.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,5.0,8.0,7.0,5.0,9.0,5.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,7.0,6.0,8.0,9.0,4.0,5.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,24.0,law,Alabama,"65,929.00",law,6.0,7.0,8.0,7.0,9.0,8.0,3.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
0,25.0,Economics,Connecticut,,Economist,7.0,9.0,10.0,7.0,8.0,9.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,9.0,7.0,9.0,8.0,9.0,7.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,7.0,9.0,9.0,7.0,9.0,7.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,9.0,7.0,9.0,7.0,9.0,7.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,9.0,10.0,10.0,10.0,10.0,10.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,8.0,10.0,10.0,7.0,9.0,9.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,8.0,9.0,10.0,7.0,7.0,9.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,7.0,9.0,9.0,8.0,9.0,7.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,9.0,9.0,9.0,9.0,9.0,9.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,25.0,Economics,Connecticut,,Economist,8.0,7.0,9.0,7.0,9.0,7.0,3.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
0,23.0,Law,Texas,"37,754.00",lawyer/policy work,4.0,10.0,8.0,5.0,8.0,7.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
0,23.0,Law,Texas,"37,754.00",lawyer/policy work,8.0,7.0,8.0,10.0,7.0,8.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
0,23.0,Law,Texas,"37,754.00",lawyer/policy work,4.0,7.0,8.0,8.0,6.0,7.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
0,23.0,Law,Texas,"37,754.00",lawyer/policy work,8.0,10.0,7.0,10.0,7.0,10.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
0,23.0,Law,Texas,"37,754.00",lawyer/policy work,6.0,9.0,8.0,9.0,8.0,9.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
0,23.0,Law,Texas,"37,754.00",lawyer/policy work,5.0,10.0,8.0,4.0,8.0,2.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
0,23.0,Law,Texas,"37,754.00",lawyer/policy work,7.0,10.0,10.0,7.0,10.0,5.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
